,Date,Ball_1,Ball_2,Ball_3,Ball_4,Ball_5,Ball_Bonus
271,2021-07-31,01,21,22,34,47,04
272,2021-07-28,25,30,53,59,60,05
273,2021-07-24,01,04,11,59,67,10
274,2021-07-21,27,28,44,67,68,11
275,2021-07-17,15,22,38,54,66,03
276,2021-07-14,33,46,52,59,62,10
277,2021-07-10,01,05,29,54,62,03
278,2021-07-07,08,21,30,49,57,08
279,2021-07-03,26,40,41,55,65,24
280,2021-06-30,24,29,50,65,66,14
281,2021-06-26,08,31,39,43,60,17
282,2021-06-23,13,20,40,51,63,01
283,2021-06-19,04,22,35,38,39,20
284,2021-06-16,19,29,34,44,50,25
285,2021-06-12,08,25,34,38,41,10
286,2021-06-09,19,28,46,50,54,09
287,2021-06-05,44,52,54,64,69,26
288,2021-06-02,06,07,11,66,67,19
289,2021-05-29,11,13,22,27,46,20
290,2021-05-26,02,08,21,34,62,16
291,2021-05-22,03,19,27,37,40,08
292,2021-05-19,11,13,55,56,69,04
293,2021-05-15,04,10,37,39,69,24
294,2021-05-12,01,19,20,38,54,17
295,2021-05-08,12,17,20,21,26,08
296,2021-05-05,16,23,28,40,63,01
297,2021-05-01,35,36,47,61,63,03
298,2021-04-28,16,18,35,39,53,21
299,2021-04-24,22,36,48,59,61,22
300,2021-04-21,21,25,32,63,67,06
301,2021-04-17,10,21,26,41,49,25
302,2021-04-14,13,30,33,45,61,14
303,2021-04-10,14,16,23,50,53,03
304,2021-04-07,27,35,39,51,66,16
305,2021-04-03,01,12,17,39,53,05
306,2021-03-31,03,10,44,55,68,24
307,2021-03-27,06,14,38,39,65,06
308,2021-03-24,04,09,17,27,38,18
309,2021-03-20,01,06,22,42,61,04
310,2021-03-17,34,38,42,61,62,19
311,2021-03-13,05,11,51,56,61,02
312,2021-03-10,17,18,37,44,53,18
313,2021-03-06,11,31,50,52,58,18
314,2021-03-03,21,40,44,50,55,16
315,2021-02-27,02,28,31,44,52,18
316,2021-02-24,04,33,43,53,65,21
317,2021-02-20,04,08,22,32,58,04
318,2021-02-17,01,15,21,32,46,01
319,2021-02-13,20,28,33,63,68,20
320,2021-02-10,15,39,58,63,67,07
321,2021-02-06,01,16,48,49,65,08
322,2021-02-03,05,37,40,64,66,05
323,2021-01-30,01,02,07,52,61,04
324,2021-01-27,17,33,35,42,52,09
325,2021-01-23,05,08,17,27,28,14
326,2021-01-20,40,53,60,68,69,22
327,2021-01-16,14,20,39,65,67,02
328,2021-01-13,04,19,23,25,49,14
329,2021-01-09,14,26,38,45,46,13
330,2021-01-06,01,20,22,60,66,03
331,2021-01-02,03,04,11,41,67,05
332,2022-12-31,18,37,44,50,64,11
333,2022-12-28,26,32,38,45,56,01
334,2022-12-26,17,41,47,60,61,17
335,2022-12-24,17,37,46,54,67,08
336,2022-12-21,12,15,24,34,59,14
337,2022-12-19,07,37,55,65,67,12
338,2022-12-17,33,56,64,66,68,12
339,2022-12-14,36,51,59,66,68,25
340,2022-12-12,16,31,50,55,61,09
341,2022-12-10,09,23,47,49,68,19
342,2022-12-07,06,28,44,59,61,21
343,2022-12-05,35,45,47,54,55,14
344,2022-12-03,06,13,33,36,37,07
345,2022-11-30,04,19,24,47,66,10
346,2022-11-28,29,30,32,48,50,20
347,2022-11-26,15,30,47,50,51,03
348,2022-11-23,01,02,31,39,66,25
349,2022-11-21,01,06,40,51,67,02
350,2022-11-19,07,28,62,63,64,10
351,2022-11-16,28,34,51,53,56,11
352,2022-11-14,19,35,53,54,67,21
353,2022-11-12,16,20,44,57,58,06
354,2022-11-09,07,14,24,30,56,07
355,2022-11-07,10,33,41,47,56,10
356,2022-11-05,28,45,53,56,69,20
357,2022-11-02,02,11,22,35,60,23
358,2022-10-31,13,19,36,39,59,13
359,2022-10-29,19,31,40,46,57,23
360,2022-10-26,19,36,37,46,56,24
361,2022-10-24,18,23,35,45,54,16
362,2022-10-22,19,25,48,55,60,18
363,2022-10-19,06,08,15,27,42,10
364,2022-10-17,19,30,36,46,60,25
365,2022-10-15,32,37,40,58,62,15
366,2022-10-12,14,30,41,42,59,06
367,2022-10-10,03,06,11,17,22,11
368,2022-10-08,13,43,53,60,68,05
369,2022-10-05,26,30,33,37,62,06
370,2022-10-03,02,16,22,55,63,22
371,2022-10-01,08,21,22,65,69,26
372,2022-09-28,06,10,24,33,67,11
373,2022-09-26,13,20,31,33,59,20
374,2022-09-24,03,09,21,24,29,14
375,2022-09-21,06,33,34,45,54,07
376,2022-09-19,07,15,36,46,67,07
377,2022-09-17,05,25,36,51,61,01
378,2022-09-14,09,10,20,22,52,25
379,2022-09-12,06,14,16,34,66,25
380,2022-09-10,38,42,56,68,69,04
381,2022-09-07,03,16,30,33,36,20
382,2022-09-05,04,07,32,55,64,25
383,2022-09-03,18,27,49,65,69,09
384,2022-08-31,07,08,19,24,28,01
385,2022-08-29,13,36,43,61,69,18
386,2022-08-27,02,18,56,60,65,14
387,2022-08-24,06,24,35,37,44,22
388,2022-08-22,12,27,34,55,67,09
389,2022-08-20,05,09,11,16,66,07
390,2022-08-17,23,28,41,50,55,24
391,2022-08-15,20,24,47,50,63,05
392,2022-08-13,19,24,35,43,62,02
393,2022-08-10,29,44,59,61,68,19
394,2022-08-08,32,45,51,57,58,12
395,2022-08-06,08,15,46,56,68,03
396,2022-08-03,09,21,56,57,66,11
397,2022-08-01,15,21,31,36,65,16
398,2022-07-30,04,17,57,58,68,12
399,2022-07-27,01,25,44,55,57,26
400,2022-07-25,25,37,38,39,65,05
401,2022-07-23,39,41,54,59,62,12
402,2022-07-20,10,20,23,49,65,22
403,2022-07-18,14,34,36,50,58,05
404,2022-07-16,03,18,23,32,57,21
405,2022-07-13,22,23,36,47,63,02
406,2022-07-11,04,26,34,37,52,09
407,2022-07-09,14,22,42,46,52,24
408,2022-07-06,32,36,49,62,69,13
409,2022-07-04,15,16,24,31,56,04
410,2022-07-02,09,10,37,59,62,26
411,2022-06-29,08,40,49,58,63,14
412,2022-06-27,11,13,18,30,37,16
413,2022-06-25,06,12,20,27,32,04
414,2022-06-22,06,10,31,48,56,12
415,2022-06-20,03,44,61,63,69,13
416,2022-06-18,10,19,40,45,58,25
417,2022-06-15,19,28,41,42,51,07
418,2022-06-13,02,27,42,44,51,25
419,2022-06-11,18,20,26,53,69,05
420,2022-06-08,22,39,43,62,64,07
421,2022-06-06,02,10,35,44,46,04
422,2022-06-04,14,16,36,52,60,16
423,2022-06-01,11,41,56,57,63,02
424,2022-05-30,27,28,51,68,69,22
425,2022-05-28,02,39,50,61,66,15
426,2022-05-25,19,28,39,42,57,17
427,2022-05-23,01,33,37,39,42,26
428,2022-05-21,14,15,25,52,58,11
429,2022-05-18,40,41,58,64,65,17
430,2022-05-16,07,15,22,36,64,13
431,2022-05-14,06,40,41,45,52,09
432,2022-05-11,05,07,61,63,69,18
433,2022-05-09,18,30,35,52,56,05
434,2022-05-07,04,05,06,28,67,10
435,2022-05-04,37,39,55,63,69,23
436,2022-05-02,18,27,33,39,44,08
437,2022-04-30,14,21,37,44,63,01
438,2022-04-27,11,36,61,62,68,04
439,2022-04-25,12,18,20,39,61,10
440,2022-04-23,10,39,47,49,56,08
441,2022-04-20,20,30,45,55,56,14
442,2022-04-18,08,33,55,59,62,18
443,2022-04-16,15,21,32,62,65,26
444,2022-04-13,14,16,41,63,68,26
445,2022-04-11,05,07,24,31,34,04
